Round,Bet,Total Bets,Profit/Loss
1,10,10,10
2,20,20,0
3,10,40,20
4,20,50,10
5,10,70,30
6,10,80,40
7,10,90,50
8,10,100,60
9,10,110,70
10,10,120,80
11,20,130,70
12,40,150,50
13,80,190,10
14,10,270,90
15,10,280,100
16,20,290,90
17,10,310,110
18,10,320,120
19,10,330,130
20,20,340,120
21,10,360,140
22,20,370,130
23,10,390,150
24,10,400,160
25,20,410,150
26,40,430,130
27,10,470,170
28,10,480,180
29,20,490,170
30,40,510,150
31,80,550,110
32,10,630,190
33,20,640,180
34,10,660,200
35,20,670,190
36,10,690,210
37,10,700,220
38,20,710,210
39,10,730,230
40,10,740,240
41,20,750,230
42,40,770,210
43,80,810,170
44,10,890,250
45,20,900,240
46,10,920,260
47,10,930,270
48,20,940,260
49,40,960,240
50,80,1000,200
51,10,1080,280
52,20,1090,270
53,40,1110,250
54,10,1150,290
55,20,1160,280
56,10,1180,300
57,20,1190,290
58,10,1210,310
59,10,1220,320
60,20,1230,310
61,40,1250,290
62,80,1290,250
63,160,1370,170
64,10,1530,330
65,10,1540,340
66,10,1550,350
67,20,1560,340
68,40,1580,320
69,80,1620,280
70,160,1700,200
71,10,1860,360
72,10,1870,370
73,20,1880,360
74,40,1900,340
75,80,1940,300
76,160,2020,220
77,320,2180,60
78,10,2500,380
79,20,2510,370
80,10,2530,390
81,10,2540,400
82,20,2550,390
83,10,2570,410
84,20,2580,400
85,40,2600,380
86,10,2640,420
87,20,2650,410
88,10,2670,430
89,20,2680,420
90,40,2700,400
91,10,2740,440
92,10,2750,450
93,10,2760,460
94,10,2770,470
95,20,2780,460
96,10,2800,480
97,20,2810,470
98,40,2830,450
99,10,2870,490
100,20,2880,480
