Round,Current Bet,Total Bets,Total Profit/Loss,Number,Color,Win Status
1,20.0,20.0,-10.0,33,black,loss
2,40.0,60.0,-30.0,26,black,loss
3,80.0,140.0,-70.0,31,black,loss
4,10.0,150.0,10.0,27,red,win
5,20.0,170.0,0.0,10,black,loss
6,10.0,180.0,20.0,7,red,win
7,20.0,200.0,10.0,11,black,loss
8,10.0,210.0,30.0,14,red,win
9,10.0,220.0,40.0,21,red,win
10,10.0,230.0,50.0,27,red,win
11,20.0,250.0,40.0,15,black,loss
12,10.0,260.0,60.0,27,red,win
13,20.0,280.0,50.0,26,black,loss
14,10.0,290.0,70.0,32,red,win
15,20.0,310.0,60.0,22,black,loss
16,10.0,320.0,80.0,19,red,win
17,10.0,330.0,90.0,5,red,win
18,20.0,350.0,80.0,20,black,loss
19,40.0,390.0,60.0,24,black,loss
20,80.0,470.0,20.0,4,black,loss
21,160.0,630.0,-60.0,0,green,loss
22,10.0,640.0,100.0,16,red,win
23,10.0,650.0,110.0,36,red,win
24,20.0,670.0,100.0,17,black,loss
25,10.0,680.0,120.0,23,red,win
26,10.0,690.0,130.0,19,red,win
27,10.0,700.0,140.0,9,red,win
28,20.0,720.0,130.0,24,black,loss
29,10.0,730.0,150.0,18,red,win
30,10.0,740.0,160.0,3,red,win
31,20.0,760.0,150.0,22,black,loss
32,40.0,800.0,130.0,0,green,loss
33,80.0,880.0,90.0,22,black,loss
34,160.0,1040.0,10.0,6,black,loss
35,10.0,1050.0,170.0,7,red,win
36,20.0,1070.0,160.0,8,black,loss
37,10.0,1080.0,180.0,25,red,win
38,20.0,1100.0,170.0,24,black,loss
39,10.0,1110.0,190.0,16,red,win
40,20.0,1130.0,180.0,6,black,loss
41,10.0,1140.0,200.0,30,red,win
42,10.0,1150.0,210.0,18,red,win
43,10.0,1160.0,220.0,23,red,win
44,20.0,1180.0,210.0,26,black,loss
45,40.0,1220.0,190.0,20,black,loss
46,10.0,1230.0,230.0,14,red,win
47,10.0,1240.0,240.0,1,red,win
48,20.0,1260.0,230.0,29,black,loss
49,40.0,1300.0,210.0,13,black,loss
50,10.0,1310.0,250.0,19,red,win
51,20.0,1330.0,240.0,6,black,loss
52,40.0,1370.0,220.0,26,black,loss
53,80.0,1450.0,180.0,11,black,loss
54,160.0,1610.0,100.0,13,black,loss
55,320.0,1930.0,-60.0,24,black,loss
56,10.0,1940.0,260.0,12,red,win
57,10.0,1950.0,270.0,3,red,win
58,20.0,1970.0,260.0,4,black,loss
59,40.0,2010.0,240.0,0,green,loss
60,80.0,2090.0,200.0,31,black,loss
61,160.0,2250.0,120.0,8,black,loss
62,320.0,2570.0,-40.0,11,black,loss
63,640.0,3210.0,-360.0,35,black,loss
64,1280.0,4490.0,-1000.0,22,black,loss
65,2560.0,7050.0,-2280.0,10,black,loss
66,5120.0,12170.0,-4840.0,22,black,loss
67,10240.0,22410.0,-9960.0,8,black,loss
68,20480.0,42890.0,-20200.0,17,black,loss
69,40960.0,83850.0,-40680.0,2,black,loss
70,10.0,83860.0,280.0,9,red,win
71,20.0,83880.0,270.0,33,black,loss
72,10.0,83890.0,290.0,19,red,win
73,20.0,83910.0,280.0,15,black,loss
74,10.0,83920.0,300.0,3,red,win
75,20.0,83940.0,290.0,8,black,loss
76,10.0,83950.0,310.0,19,red,win
77,20.0,83970.0,300.0,35,black,loss
78,40.0,84010.0,280.0,33,black,loss
79,80.0,84090.0,240.0,22,black,loss
80,10.0,84100.0,320.0,36,red,win
81,10.0,84110.0,330.0,5,red,win
82,10.0,84120.0,340.0,23,red,win
83,10.0,84130.0,350.0,3,red,win
84,20.0,84150.0,340.0,4,black,loss
85,40.0,84190.0,320.0,29,black,loss
86,10.0,84200.0,360.0,25,red,win
87,20.0,84220.0,350.0,13,black,loss
88,40.0,84260.0,330.0,35,black,loss
89,80.0,84340.0,290.0,28,black,loss
90,10.0,84350.0,370.0,5,red,win
91,20.0,84370.0,360.0,20,black,loss
92,10.0,84380.0,380.0,14,red,win
93,20.0,84400.0,370.0,22,black,loss
94,10.0,84410.0,390.0,7,red,win
95,20.0,84430.0,380.0,35,black,loss
96,40.0,84470.0,360.0,0,green,loss
97,80.0,84550.0,320.0,4,black,loss
98,10.0,84560.0,400.0,12,red,win
99,20.0,84580.0,390.0,10,black,loss
100,10.0,84590.0,410.0,16,red,win
